,Module,Group,Quota,No. ofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
17,BHT4001B,LECTURE ZB,493,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
18,BHT4001C,LECTURE ZC,497,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
19,BN4403,LECTURE 1,17,0,0,0,0,ENGINEERING,NUS Students [P]
20,BN4406,LECTURE 1,31,0,0,0,0,ENGINEERING,NUS Students [P]
21,BSP1005B,LECTURE E2,1,8,15,809,809,SCHOOL OF BUSINESS,"NUS Students [P, G]"
22,BSP3001A,SECTIONAL TEACHING A3,6,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
23,BU3180,LECTURE 1,22,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
24,BU3181,LECTURE 1,23,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
25,BU3380,LECTURE 1,31,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
26,BU3491,LECTURE 1,40,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,"NUS Students [P, G]"
27,BU4380,LECTURE 1,31,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
28,BU4391,LECTURE 1,15,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
29,BU4480,LECTURE 1,36,3,1,1,4558,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
30,BU4490,LECTURE 1,40,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
31,CE2134,LECTURE 1,72,1,1,1,1,ENGINEERING,"NUS Students [P, G]"
32,CE2155,LECTURE 1,100,0,0,0,0,ENGINEERING,"NUS Students [P, G]"
33,CE2184,LECTURE 1,103,5,1,1,49,ENGINEERING,"NUS Students [P, G]"
34,CE2407,LECTURE 1,88,0,0,0,0,ENGINEERING,"NUS Students [P, G]"
35,CE2408,LECTURE 1,122,1,101,1,101,ENGINEERING,"NUS Students [P, G]"
36,CE3101,LECTURE 1,7,1,200,1,200,ENGINEERING,"NUS Students [P, G]"
37,CE3115,LECTURE 1,104,0,0,0,0,ENGINEERING,"NUS Students [P, G]"
38,CE3121,LECTURE 1,104,0,0,0,0,ENGINEERING,"NUS Students [P, G]"
39,CE3165,LECTURE 1,95,1,1,1,1,ENGINEERING,"NUS Students [P, G]"
40,CE4103,LECTURE 1,146,0,0,0,0,ENGINEERING,NUS Students [P]
41,CE4104,LECTURE 1,88,1,1,1,1,ENGINEERING,NUS Students [P]
42,CE4257,LECTURE 1,43,1,1,1,1,ENGINEERING,"NUS Students [P, G]"
43,CE5101,LECTURE 1,16,0,0,0,0,ENGINEERING,NUS Students [P]
44,CE5104,LECTURE 1,9,2,1,1,100,ENGINEERING,NUS Students [P]
45,CE5105,LECTURE 1,13,0,0,0,0,ENGINEERING,NUS Students [P]
46,CE5203,LECTURE 1,10,0,0,0,0,ENGINEERING,NUS Students [P]
47,CE5307,LECTURE 1,9,0,0,0,0,ENGINEERING,NUS Students [P]
48,CE5509,LECTURE 1,14,0,0,0,0,ENGINEERING,NUS Students [P]
49,CE5514,LECTURE 1,15,0,0,0,0,ENGINEERING,NUS Students [P]
50,CE5604,LECTURE 1,2,0,0,0,0,ENGINEERING,NUS Students [P]
51,CE5703,LECTURE 1,3,0,0,0,0,ENGINEERING,NUS Students [P]
52,CE5712,LECTURE 1,24,0,0,0,0,ENGINEERING,NUS Students [P]
53,CH1101E,LECTURE 1,40,10,1,1,399,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
54,CH2121,LECTURE 1,19,3,1,1,777,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
55,CH2225,LECTURE 1,39,4,10,1,2781,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
56,CH2227,LECTURE 1,30,0,0,0,0,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
57,CH2271,LECTURE 1,65,8,1,1,50,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
58,CH2292A,LECTURE 1,77,10,1,1,3000,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
59,CH3221,SECTIONAL TEACHING 1,46,1,150,1,150,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
60,CH3246,LECTURE 1,7,0,0,0,0,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
61,CH3253,SECTIONAL TEACHING 1,24,2,1,1,1,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
62,CH4225,SECTIONAL TEACHING 1,17,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
63,CH4242,SECTIONAL TEACHING 1,23,1,1,1,1,ARTS & SOCIAL SCIENCES,NUS Students [P]
64,CH4245,SECTIONAL TEACHING 1,27,1,1,1,1,ARTS & SOCIAL SCIENCES,NUS Students [P]
65,CH4246,SECTIONAL TEACHING 1,18,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
66,CH4281,SECTIONAL TEACHING 1,25,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
67,CH5210,SECTIONAL TEACHING 1,9,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
68,CH5211,SECTIONAL TEACHING 1,14,1,1,1,1,ARTS & SOCIAL SCIENCES,NUS Students [P]
69,CH5212,SECTIONAL TEACHING 1,15,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
70,CH5222,SECTIONAL TEACHING 1,16,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
71,CL1101E,LECTURE 1,128,17,1,1,300,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
72,CL2121,LECTURE 1,33,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
73,CL2206,LECTURE 1,35,0,0,0,0,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
74,CL2207,LECTURE 1,5,5,2,1,600,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
75,CL2208,LECTURE 1,45,1,1,1,1,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
76,CL2280,LECTURE 1,2,5,286,350,400,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
77,CL3202,LECTURE 1,27,0,0,0,0,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
78,CL3204,LECTURE 1,36,0,0,0,0,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
79,CL3205,LECTURE 1,53,0,0,0,0,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
80,CL3221,SECTIONAL TEACHING 1,3,1,1,1,1,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
81,CM1101,LECTURE SL1,45,0,0,0,0,SCIENCE,NUS Students [P]
82,CM1417,LECTURE SL1,77,0,0,0,0,SCIENCE,NUS Students [P]
83,CM1501,LECTURE L,39,0,0,0,0,SCIENCE,NUS Students [P]
84,CM2101,LECTURE SL1,14,1,1,1,1,SCIENCE,NUS Students [P]
85,CM2111,LECTURE SL1,78,0,0,0,0,SCIENCE,NUS Students [P]
86,CM2121,LECTURE SL1,5,0,0,0,0,SCIENCE,NUS Students [P]
87,CM2132,LECTURE SL1,72,0,0,0,0,SCIENCE,NUS Students [P]
88,CM2142,LECTURE SL1,38,1,1,1,1,SCIENCE,NUS Students [P]
89,CM2161,LECTURE SL1,28,0,0,0,0,SCIENCE,NUS Students [P]
90,CM2165,LECTURE SL1,9,0,0,0,0,SCIENCE,NUS Students [P]
91,CM2263,LECTURE SL1,9,0,0,0,0,SCIENCE,NUS Students [P]
92,CM3212,LECTURE SL1,64,0,0,0,0,SCIENCE,NUS Students [P]
93,CM3221,LECTURE SL1,4,0,0,0,0,SCIENCE,NUS Students [P]
94,CM3222,LECTURE SL1,77,1,1,1,1,SCIENCE,NUS Students [P]
95,CM3241,LECTURE SL1,103,3,1,1,1418,SCIENCE,NUS Students [P]
96,CM3292,LECTURE SL1,8,1,100,1,100,SCIENCE,NUS Students [P]
97,CM4214,LECTURE SL1,26,1,1,1,1,SCIENCE,NUS Students [P]
98,CM4223,LECTURE SL1,32,0,0,0,0,SCIENCE,NUS Students [P]
99,CM4241,LECTURE SL1,9,0,0,0,0,SCIENCE,NUS Students [P]
100,CM4261,LECTURE SL1,29,3,3,1,100,SCIENCE,NUS Students [P]
101,CM4266,LECTURE SL1,25,0,0,0,0,SCIENCE,NUS Students [P]
102,CN1111E,LECTURE 1,72,0,0,0,0,ENGINEERING,NUS Students [P]
103,CN2121,LECTURE L,65,0,0,0,0,ENGINEERING,"NUS Students [P, G]"
104,CN2122,LECTURE L,9,0,0,0,0,ENGINEERING,"NUS Students [P, G]"
105,CN3108,SECTIONAL TEACHING 1,14,0,0,0,0,ENGINEERING,NUS Students [P]
106,CN3108,SECTIONAL TEACHING 2,17,0,0,0,0,ENGINEERING,NUS Students [P]
107,CN3108,SECTIONAL TEACHING 6,1,0,0,0,0,ENGINEERING,NUS Students [P]
108,CN3108,SECTIONAL TEACHING 7,1,0,0,0,0,ENGINEERING,NUS Students [P]
109,CN3108,SECTIONAL TEACHING 8,7,0,0,0,0,ENGINEERING,NUS Students [P]
110,CN3122,LECTURE L,42,0,0,0,0,ENGINEERING,NUS Students [P]
111,CN3125,LECTURE L,43,0,0,0,0,ENGINEERING,NUS Students [P]
112,CN3421,LECTURE L,33,0,0,0,0,ENGINEERING,NUS Students [P]
113,CN4118,LECTURE 1,80,0,0,0,0,ENGINEERING,NUS Students [P]
114,CN4208,LECTURE L,32,0,0,0,0,ENGINEERING,NUS Students [P]
115,CN4208E,LECTURE 1,26,1,2,1,2,ENGINEERING,NUS Students [P]
116,CN4210,LECTURE L,47,1,1,1,1,ENGINEERING,NUS Students [P]
117,CN4211,LECTURE L,64,4,1,1,25,ENGINEERING,NUS Students [P]
118,CN4215,LECTURE L,61,3,2,1,10,ENGINEERING,NUS Students [P]
119,CN4216,LECTURE L,55,0,0,0,0,ENGINEERING,NUS Students [P]
120,CN4217,LECTURE L,47,0,0,0,0,ENGINEERING,NUS Students [P]
121,CN4227,LECTURE L,22,0,0,0,0,ENGINEERING,NUS Students [P]
122,CN4245,LECTURE L,18,0,0,0,0,ENGINEERING,NUS Students [P]
123,CN4247,LECTURE L,6,0,0,0,0,ENGINEERING,NUS Students [P]
124,CN5111,LECTURE L,50,1,1,1,1,ENGINEERING,NUS Students [P]
125,CS1101C,LECTURE 1,9,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
126,CS1101C,LECTURE 2,9,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
127,CS1101S,LECTURE 1,79,1,1,1,1,SCHOOL OF COMPUTING,NUS Students [P]
128,CS1101X,LECTURE 1,1,6,100,1280,1280,SCHOOL OF COMPUTING,"NUS Students [P, G]"
129,CS1101X,LECTURE 2,28,0,0,0,0,SCHOOL OF COMPUTING,"NUS Students [P, G]"
130,CS1101X,LECTURE 3,1,5,20,108,108,SCHOOL OF COMPUTING,"NUS Students [P, G]"
131,CS1101Y,LECTURE 1,1,2,10,36,36,SCHOOL OF COMPUTING,"NUS Students [P, G]"
132,CS1101Y,LECTURE 2,4,0,0,0,0,SCHOOL OF COMPUTING,"NUS Students [P, G]"
133,CS1101Y,LECTURE 3,2,4,45,640,643,SCHOOL OF COMPUTING,"NUS Students [P, G]"
134,CS1101Z,LECTURE 1,1,1,311,1,311,SCHOOL OF COMPUTING,"NUS Students [P, G]"
135,CS1101Z,LECTURE 2,1,3,5,200,200,SCHOOL OF COMPUTING,"NUS Students [P, G]"
136,CS1102,LECTURE 1,26,0,0,0,0,SCHOOL OF COMPUTING,"NUS Students [P, G]"
137,CS1102C,LECTURE 1,4,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
138,CS1231X,LECTURE 1,49,1,1,1,1,SCHOOL OF COMPUTING,NUS Students [P]
139,CS1231Y,LECTURE 1,28,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
140,CS1280,LECTURE 1,123,2,1,1,10,SCHOOL OF COMPUTING,"NUS Students [P, G]"
141,CS1281,LECTURE 1,162,7,1,1,50,SCHOOL OF COMPUTING,"NUS Students [P, G]"
142,CS2100,LECTURE 1,74,0,0,0,0,SCHOOL OF COMPUTING,"NUS Students [P, G]"
143,CS2102,LECTURE 1,33,2,13,1,350,SCHOOL OF COMPUTING,"NUS Students [P, G]"
144,CS2102,LECTURE 2,42,2,1,1,10,SCHOOL OF COMPUTING,"NUS Students [P, G]"
145,CS2102S,LECTURE 1,54,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
146,CS2102S,LECTURE 2,77,1,1000,1,1000,SCHOOL OF COMPUTING,NUS Students [P]
147,CS2103,LECTURE 1,82,0,0,0,0,SCHOOL OF COMPUTING,"NUS Students [P, G]"
148,CS2103,LECTURE 2,132,0,0,0,0,SCHOOL OF COMPUTING,"NUS Students [P, G]"
149,CS2104,LECTURE 1,89,1,1,1,1,SCHOOL OF COMPUTING,"NUS Students [P, G]"
150,CS2105,LECTURE 1,77,5,1,1,10,SCHOOL OF COMPUTING,"NUS Students [P, G]"
151,CS2105,LECTURE 2,40,0,0,0,0,SCHOOL OF COMPUTING,"NUS Students [P, G]"
152,CS2106,LECTURE 1,83,0,0,0,0,SCHOOL OF COMPUTING,"NUS Students [P, G]"
153,CS2250,LECTURE 1,128,0,0,0,0,SCHOOL OF COMPUTING,"NUS Students [P, G]"
154,CS2261,LECTURE 1,139,1,1,1,1,SCHOOL OF COMPUTING,NUS Students [P]
155,CS2271,LECTURE 1,74,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
156,CS2301,LECTURE 1,4,4,1,1,3265,NON-FACULTY-BASED DEPARTMENTS,NUS Students [P]
157,CS3103,LECTURE 1,53,1,1,1,1,SCHOOL OF COMPUTING,"NUS Students [P, G]"
158,CS3212,LECTURE 1,87,3,1,1,3,SCHOOL OF COMPUTING,"NUS Students [P, G]"
159,CS3214,LECTURE 1,59,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
160,CS3215,LECTURE 1,73,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
161,CS3220,LECTURE 1,86,0,0,0,0,SCHOOL OF COMPUTING,"NUS Students [P, G]"
162,CS3230,LECTURE 1,79,2,200,1,1000,SCHOOL OF COMPUTING,"NUS Students [P, G]"
163,CS3234,LECTURE 1,76,2,1,1,10,SCHOOL OF COMPUTING,"NUS Students [P, G]"
164,CS3235,LECTURE 1,94,2,1,1,1,SCHOOL OF COMPUTING,"NUS Students [P, G]"
165,CS3240,LECTURE 1,17,3,1,1,1,SCHOOL OF COMPUTING,"NUS Students [P, G]"
166,CS3241,LECTURE 1,60,0,0,0,0,SCHOOL OF COMPUTING,"NUS Students [P, G]"
167,CS3243,LECTURE 1,188,0,0,0,0,SCHOOL OF COMPUTING,"NUS Students [P, G]"
168,CS3250,LECTURE 1,122,0,0,0,0,SCHOOL OF COMPUTING,"NUS Students [P, G]"
169,CS3251,LECTURE 1,11,1,1,1,1,SCHOOL OF COMPUTING,"NUS Students [P, G]"
170,CS3253,LECTURE 1,83,0,0,0,0,SCHOOL OF COMPUTING,"NUS Students [P, G]"
171,CS3255,LECTURE 1,43,1,1,1,1,SCHOOL OF COMPUTING,NUS Students [P]
172,CS3265,LECTURE 1,84,1,100,1,100,SCHOOL OF COMPUTING,"NUS Students [P, G]"
173,CS3266,LECTURE 1,14,1,1,1,1,SCHOOL OF COMPUTING,NUS Students [P]
174,CS3342,LECTURE 1,28,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
175,CS4211,LECTURE 1,9,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
176,CS4212,LECTURE 1,5,3,100,1,4179,SCHOOL OF COMPUTING,NUS Students [P]
177,CS4213,LECTURE 1,14,4,1,1,1001,SCHOOL OF COMPUTING,NUS Students [P]
178,CS4221,LECTURE 1,72,1,101,1,101,SCHOOL OF COMPUTING,NUS Students [P]
179,CS4222,LECTURE 1,16,1,1,1,1,SCHOOL OF COMPUTING,NUS Students [P]
180,CS4237,LECTURE 1,55,1,1,1,1,SCHOOL OF COMPUTING,NUS Students [P]
181,CS4243,LECTURE 1,45,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
182,CS4250,LECTURE 1,53,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
183,CS4251,LECTURE 1,11,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
184,CS4254,LECTURE 1,28,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
185,CS4264,LECTURE 1,36,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
186,CS4266,LECTURE 1,42,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
187,CS4272,LECTURE 1,102,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
188,CS4344,LECTURE 1,21,2,1,1,1,SCHOOL OF COMPUTING,NUS Students [P]
189,CS5215,LECTURE 1,6,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
190,CS5220,LECTURE 1,6,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
191,CS5223,LECTURE 1,10,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
192,CS5225,LECTURE 1,9,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
193,CS5229,LECTURE 1,8,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
194,CS5231,LECTURE 1,1,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
195,CS5234,LECTURE 1,8,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
196,CS5237,LECTURE 1,7,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
197,CS5238,LECTURE 1,7,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
198,CS5240,LECTURE 1,8,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
199,CS5248,LECTURE 1,9,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
200,CS5249,LECTURE 1,7,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
201,CS5340,LECTURE 1,6,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
202,CZ1102,LECTURE SL1,101,3,1,1,100,SCIENCE,NUS Students [P]
203,CZ3253,LECTURE SL1,39,0,0,0,0,SCIENCE,NUS Students [P]
204,CZ4102,LECTURE SL1,41,0,0,0,0,SCIENCE,NUS Students [P]
205,DSC2003,LECTURE C1,1,10,350,894,894,SCHOOL OF BUSINESS,"NUS Students [P, G]"
206,DSC3201,SECTIONAL TEACHING A1,12,0,0,0,0,SCHOOL OF BUSINESS,"NUS Students [P, G]"
207,DSC3201,SECTIONAL TEACHING A2,28,1,1,1,1,SCHOOL OF BUSINESS,"NUS Students [P, G]"
208,DSC3202,SECTIONAL TEACHING B1,12,0,0,0,0,SCHOOL OF BUSINESS,"NUS Students [P, G]"
209,DSC3203,SECTIONAL TEACHING C1,3,1,490,1,490,SCHOOL OF BUSINESS,"NUS Students [P, G]"
210,DSC3203,SECTIONAL TEACHING C2,26,0,0,0,0,SCHOOL OF BUSINESS,"NUS Students [P, G]"
211,DSC3222E,SECTIONAL TEACHING D1,14,0,0,0,0,SCHOOL OF BUSINESS,"NUS Students [P, G]"
212,DSC4211B,SECTIONAL TEACHING F1,8,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
213,DSC4211C,SECTIONAL TEACHING G1,23,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
214,EC1301,LECTURE 1,60,20,1,1,1800,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
215,EC1301,LECTURE 2,5,14,1,741,1821,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
216,EC1301,LECTURE 3,7,15,1,350,4172,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
217,EC2101,LECTURE 1,1,16,1,2124,2124,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
218,EC3102,LECTURE 1,1,6,1,970,970,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
219,EC3353,LECTURE 1,1,7,200,987,987,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
220,EC3361,LECTURE 1,2,14,327,1000,1170,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
221,EC3382,SEMINAR-STYLE MODULE CLASS 1,1,3,620,950,950,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
222,EC4101,LECTURE 1,7,2,12,1,20,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
223,EC4102,LECTURE 1,42,1,5,1,5,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
224,EC4332,LECTURE 1,5,2,1,1,501,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
225,EC5311,SECTIONAL TEACHING 1,25,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
226,EC5361,SECTIONAL TEACHING 1,18,1,150,1,150,ARTS & SOCIAL SCIENCES,NUS Students [P]
227,EE2001,LECTURE P,205,2,1,1,50,ENGINEERING,NUS Students [P]
228,EE2004,LECTURE ALL,42,0,0,0,0,ENGINEERING,"NUS Students [P, G]"
229,EE2004E,LECTURE 1,362,0,0,0,0,ENGINEERING,NUS Students [P]
230,EE2005,LECTURE ALL,15,0,0,0,0,ENGINEERING,"NUS Students [P, G]"
231,EE2006,LECTURE ALL,30,2,1,1,1,ENGINEERING,"NUS Students [P, G]"
232,EE2009,LECTURE ALL,22,1,10,1,10,ENGINEERING,NUS Students [P]
233,EE2009E,LECTURE 1,204,0,0,0,0,ENGINEERING,NUS Students [P]
234,EE2010,LECTURE ALL,49,0,0,0,0,ENGINEERING,"NUS Students [P, G]"
235,EE2010E,LECTURE 1,223,0,0,0,0,ENGINEERING,NUS Students [P]
236,EE2011,LECTURE ALL,40,0,0,0,0,ENGINEERING,NUS Students [P]
237,EE3001,LECTURE P,91,2,1,1,1,ENGINEERING,NUS Students [P]
238,EE3101,PACKAGED LECTURE 1,158,2,11,1,50,ENGINEERING,NUS Students [P]
239,EE3101E,LECTURE 1,28,0,0,0,0,ENGINEERING,NUS Students [P]
240,EE3103,PACKAGED LECTURE 1,180,0,0,0,0,ENGINEERING,NUS Students [P]
241,EE3103E,LECTURE 1,39,0,0,0,0,ENGINEERING,NUS Students [P]
242,EE3204,PACKAGED LECTURE 1,135,3,1,1,10,ENGINEERING,NUS Students [P]
243,EE3204E,LECTURE 1,27,0,0,0,0,ENGINEERING,NUS Students [P]
244,EE3206,PACKAGED LECTURE 1,91,3,100,1,3517,ENGINEERING,NUS Students [P]
245,EE3206E,LECTURE 1,27,0,0,0,0,ENGINEERING,NUS Students [P]
246,EE3207,PACKAGED LECTURE 1,32,2,1,1,100,ENGINEERING,NUS Students [P]
247,EE3207E,LECTURE 1,27,0,0,0,0,ENGINEERING,NUS Students [P]
248,EE3208E,LECTURE 1,48,0,0,0,0,ENGINEERING,NUS Students [P]
249,EE3302,PACKAGED LECTURE 1,55,1,10,1,10,ENGINEERING,NUS Students [P]
250,EE3302E,LECTURE 1,7,1,100,1,100,ENGINEERING,NUS Students [P]
251,EE3406,PACKAGED LECTURE 1,81,3,2,1,1000,ENGINEERING,NUS Students [P]
252,EE3407,PACKAGED LECTURE 1,196,1,1,1,1,ENGINEERING,NUS Students [P]
253,EE3408,PACKAGED LECTURE 1,1,4,110,2281,2281,ENGINEERING,NUS Students [P]
254,EE3408E,LECTURE 1,27,0,0,0,0,ENGINEERING,NUS Students [P]
255,EE3505,PACKAGED LECTURE 1,45,3,1,1,500,ENGINEERING,NUS Students [P]
256,EE3601,PACKAGED LECTURE 1,96,1,1000,1,1000,ENGINEERING,NUS Students [P]
257,EE3702,PACKAGED LECTURE 1,15,3,1,1,5315,ENGINEERING,NUS Students [P]
258,EE4101,PACKAGED LECTURE 1,18,2,1,1,5000,ENGINEERING,NUS Students [P]
259,EE4103,PACKAGED LECTURE 1,114,0,0,0,0,ENGINEERING,NUS Students [P]
260,EE4112,PACKAGED LECTURE 1,29,0,0,0,0,ENGINEERING,NUS Students [P]
261,EE4214,PACKAGED LECTURE 1,63,0,0,0,0,ENGINEERING,NUS Students [P]
262,EE4305,PACKAGED LECTURE 1,154,3,10,1,1000,ENGINEERING,NUS Students [P]
263,EE4411,PACKAGED LECTURE 1,9,4,400,1,1000,ENGINEERING,NUS Students [P]
264,EE4412,PACKAGED LECTURE 1,1,0,0,0,0,ENGINEERING,NUS Students [P]
265,EE4412E,LECTURE 1,30,0,0,0,0,ENGINEERING,NUS Students [P]
266,EE4502,LECTURE 1,67,0,0,0,0,ENGINEERING,NUS Students [P]
267,EE4505,PACKAGED LECTURE 1,46,1,10,1,10,ENGINEERING,NUS Students [P]
268,EE4506,PACKAGED LECTURE 1,32,0,0,0,0,ENGINEERING,NUS Students [P]
269,EE4601,PACKAGED LECTURE 1,57,0,0,0,0,ENGINEERING,NUS Students [P]
270,EE4604,PACKAGED LECTURE 1,45,4,1,1,500,ENGINEERING,NUS Students [P]
271,EG1108,LECTURE 1,15,1,5,1,5,ENGINEERING,"NUS Students [P, G]"
272,EG1108,LECTURE 2,31,0,0,0,0,ENGINEERING,"NUS Students [P, G]"
273,EG1109,LECTURE 1,4,0,0,0,0,ENGINEERING,NUS Students [G]
274,EG1413,SECTIONAL TEACHING E09,1,0,0,0,0,ENGINEERING,NUS Students [P]
