,Module,Group,Quota,No. ofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
91,CM2263,LECTURE SL1,9,0,0,0,0,SCIENCE,NUS Students [P]
92,CM3212,LECTURE SL1,64,1,10,1,10,SCIENCE,NUS Students [P]
93,CM3221,LECTURE SL1,3,0,0,0,0,SCIENCE,NUS Students [P]
94,CM3222,LECTURE SL1,77,2,1,1,1,SCIENCE,NUS Students [P]
95,CM3241,LECTURE SL1,102,1,1,1,1,SCIENCE,NUS Students [P]
96,CM3292,LECTURE SL1,8,0,0,0,0,SCIENCE,NUS Students [P]
97,CM4214,LECTURE SL1,28,2,1,1,100,SCIENCE,NUS Students [P]
98,CM4223,LECTURE SL1,30,0,0,0,0,SCIENCE,NUS Students [P]
99,CM4241,LECTURE SL1,9,0,0,0,0,SCIENCE,NUS Students [P]
100,CM4261,LECTURE SL1,27,1,1,1,1,SCIENCE,NUS Students [P]
101,CM4266,LECTURE SL1,25,0,0,0,0,SCIENCE,NUS Students [P]
102,CN1111E,LECTURE 1,72,0,0,0,0,ENGINEERING,NUS Students [P]
103,CN2121,LECTURE L,65,0,0,0,0,ENGINEERING,"NUS Students [P, G]"
104,CN2122,LECTURE L,10,2,15,1,150,ENGINEERING,"NUS Students [P, G]"
105,CN3108,SECTIONAL TEACHING 1,15,1,1,1,1,ENGINEERING,NUS Students [P]
106,CN3108,SECTIONAL TEACHING 2,17,0,0,0,0,ENGINEERING,NUS Students [P]
107,CN3108,SECTIONAL TEACHING 5,1,1,200,1,200,ENGINEERING,NUS Students [P]
108,CN3108,SECTIONAL TEACHING 6,1,0,0,0,0,ENGINEERING,NUS Students [P]
109,CN3108,SECTIONAL TEACHING 7,1,0,0,0,0,ENGINEERING,NUS Students [P]
110,CN3108,SECTIONAL TEACHING 8,7,0,0,0,0,ENGINEERING,NUS Students [P]
111,CN3122,LECTURE L,42,0,0,0,0,ENGINEERING,NUS Students [P]
112,CN3125,LECTURE L,43,0,0,0,0,ENGINEERING,NUS Students [P]
113,CN3421,LECTURE L,33,0,0,0,0,ENGINEERING,NUS Students [P]
114,CN4118,LECTURE 1,81,1,1,1,1,ENGINEERING,NUS Students [P]
115,CN4208,LECTURE L,32,1,100,1,100,ENGINEERING,NUS Students [P]
116,CN4208E,LECTURE 1,28,3,1,1,5,ENGINEERING,NUS Students [P]
117,CN4210,LECTURE L,47,1,1,1,1,ENGINEERING,NUS Students [P]
118,CN4211,LECTURE L,65,1,100,1,100,ENGINEERING,NUS Students [P]
119,CN4215,LECTURE L,63,4,1,1,1,ENGINEERING,NUS Students [P]
120,CN4216,LECTURE L,54,0,0,0,0,ENGINEERING,NUS Students [P]
121,CN4217,LECTURE L,47,0,0,0,0,ENGINEERING,NUS Students [P]
122,CN4227,LECTURE L,21,0,0,0,0,ENGINEERING,NUS Students [P]
123,CN4245,LECTURE L,14,0,0,0,0,ENGINEERING,NUS Students [P]
124,CN4247,LECTURE L,4,0,0,0,0,ENGINEERING,NUS Students [P]
125,CN5111,LECTURE L,51,1,500,1,500,ENGINEERING,NUS Students [P]
126,CS1101C,LECTURE 1,10,1,51,1,51,SCHOOL OF COMPUTING,NUS Students [P]
127,CS1101C,LECTURE 2,9,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
128,CS1101S,LECTURE 1,80,2,1,1,1,SCHOOL OF COMPUTING,NUS Students [P]
129,CS1101X,LECTURE 1,18,28,50,330,886,SCHOOL OF COMPUTING,"NUS Students [P, G]"
130,CS1101X,LECTURE 2,29,1,1,1,1,SCHOOL OF COMPUTING,"NUS Students [P, G]"
131,CS1101X,LECTURE 3,7,11,308,441,644,SCHOOL OF COMPUTING,"NUS Students [P, G]"
132,CS1101Y,LECTURE 2,9,5,1,1,616,SCHOOL OF COMPUTING,"NUS Students [P, G]"
133,CS1101Y,LECTURE 3,1,3,100,646,646,SCHOOL OF COMPUTING,"NUS Students [P, G]"
134,CS1101Z,LECTURE 1,5,7,292,432,597,SCHOOL OF COMPUTING,"NUS Students [P, G]"
135,CS1101Z,LECTURE 3,5,10,1,646,647,SCHOOL OF COMPUTING,"NUS Students [P, G]"
136,CS1102,LECTURE 1,28,2,1,1,10,SCHOOL OF COMPUTING,"NUS Students [P, G]"
137,CS1102C,LECTURE 1,6,2,5,1,10,SCHOOL OF COMPUTING,NUS Students [P]
138,CS1105,LECTURE 1,19,22,1,6,1000,SCHOOL OF COMPUTING,NUS Students [P]
139,CS1231X,LECTURE 1,61,13,1,1,647,SCHOOL OF COMPUTING,NUS Students [P]
140,CS1231Y,LECTURE 1,29,4,1,1,3,SCHOOL OF COMPUTING,NUS Students [P]
141,CS1280,LECTURE 1,135,13,1,1,101,SCHOOL OF COMPUTING,"NUS Students [P, G]"
142,CS1281,LECTURE 1,165,7,1,1,400,SCHOOL OF COMPUTING,"NUS Students [P, G]"
143,CS2100,LECTURE 1,77,3,1,1,1,SCHOOL OF COMPUTING,"NUS Students [P, G]"
144,CS2102,LECTURE 1,34,1,1,1,1,SCHOOL OF COMPUTING,"NUS Students [P, G]"
145,CS2102,LECTURE 2,41,0,0,0,0,SCHOOL OF COMPUTING,"NUS Students [P, G]"
146,CS2102S,LECTURE 1,58,6,1,1,100,SCHOOL OF COMPUTING,NUS Students [P]
147,CS2102S,LECTURE 2,81,5,1,1,1800,SCHOOL OF COMPUTING,NUS Students [P]
148,CS2103,LECTURE 1,81,2,1,1,1,SCHOOL OF COMPUTING,"NUS Students [P, G]"
149,CS2103,LECTURE 2,136,5,1,1,10,SCHOOL OF COMPUTING,"NUS Students [P, G]"
150,CS2104,LECTURE 1,90,1,1,1,1,SCHOOL OF COMPUTING,"NUS Students [P, G]"
151,CS2105,LECTURE 1,86,11,1,1,300,SCHOOL OF COMPUTING,"NUS Students [P, G]"
152,CS2105,LECTURE 2,46,6,1,1,200,SCHOOL OF COMPUTING,"NUS Students [P, G]"
153,CS2106,LECTURE 1,88,7,1,1,1777,SCHOOL OF COMPUTING,"NUS Students [P, G]"
154,CS2250,LECTURE 1,133,7,1,1,105,SCHOOL OF COMPUTING,"NUS Students [P, G]"
155,CS2261,LECTURE 1,147,11,1,1,1496,SCHOOL OF COMPUTING,NUS Students [P]
156,CS2271,LECTURE 1,74,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
157,CS2301,LECTURE 1,3,1,1,1,1,NON-FACULTY-BASED DEPARTMENTS,NUS Students [P]
158,CS3103,LECTURE 1,54,2,1,1,1,SCHOOL OF COMPUTING,"NUS Students [P, G]"
159,CS3212,LECTURE 1,97,10,1,1,100,SCHOOL OF COMPUTING,"NUS Students [P, G]"
160,CS3214,LECTURE 1,59,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
161,CS3215,LECTURE 1,72,2,3,1,5,SCHOOL OF COMPUTING,NUS Students [P]
162,CS3220,LECTURE 1,90,4,10,1,100,SCHOOL OF COMPUTING,"NUS Students [P, G]"
163,CS3230,LECTURE 1,83,5,1,1,2031,SCHOOL OF COMPUTING,"NUS Students [P, G]"
164,CS3234,LECTURE 1,77,2,51,1,200,SCHOOL OF COMPUTING,"NUS Students [P, G]"
165,CS3235,LECTURE 1,100,7,1,1,3736,SCHOOL OF COMPUTING,"NUS Students [P, G]"
166,CS3240,LECTURE 1,20,3,1,1,5,SCHOOL OF COMPUTING,"NUS Students [P, G]"
167,CS3241,LECTURE 1,64,4,3,1,100,SCHOOL OF COMPUTING,"NUS Students [P, G]"
168,CS3243,LECTURE 1,192,5,1,1,4500,SCHOOL OF COMPUTING,"NUS Students [P, G]"
169,CS3250,LECTURE 1,125,3,1,1,10,SCHOOL OF COMPUTING,"NUS Students [P, G]"
170,CS3251,LECTURE 1,13,3,11,1,1000,SCHOOL OF COMPUTING,"NUS Students [P, G]"
171,CS3253,LECTURE 1,86,4,1,1,1880,SCHOOL OF COMPUTING,"NUS Students [P, G]"
172,CS3255,LECTURE 1,48,5,1,1,1000,SCHOOL OF COMPUTING,NUS Students [P]
173,CS3265,LECTURE 1,85,1,10,1,10,SCHOOL OF COMPUTING,"NUS Students [P, G]"
174,CS3266,LECTURE 1,30,16,1,1,1808,SCHOOL OF COMPUTING,NUS Students [P]
175,CS3342,LECTURE 1,28,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
176,CS4211,LECTURE 1,10,1,102,1,102,SCHOOL OF COMPUTING,NUS Students [P]
177,CS4212,LECTURE 1,7,2,1,1,1000,SCHOOL OF COMPUTING,NUS Students [P]
178,CS4213,LECTURE 1,16,2,11,1,100,SCHOOL OF COMPUTING,NUS Students [P]
179,CS4221,LECTURE 1,72,1,1,1,1,SCHOOL OF COMPUTING,NUS Students [P]
180,CS4222,LECTURE 1,18,2,1,1,1,SCHOOL OF COMPUTING,NUS Students [P]
181,CS4237,LECTURE 1,54,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
182,CS4243,LECTURE 1,47,2,1,1,100,SCHOOL OF COMPUTING,NUS Students [P]
183,CS4250,LECTURE 1,53,2,100,1,2518,SCHOOL OF COMPUTING,NUS Students [P]
184,CS4251,LECTURE 1,15,4,1,1,2,SCHOOL OF COMPUTING,NUS Students [P]
185,CS4254,LECTURE 1,30,2,1,1,1,SCHOOL OF COMPUTING,NUS Students [P]
186,CS4264,LECTURE 1,36,1,2,1,2,SCHOOL OF COMPUTING,NUS Students [P]
187,CS4266,LECTURE 1,45,3,100,1,1001,SCHOOL OF COMPUTING,NUS Students [P]
188,CS4272,LECTURE 1,102,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
189,CS4344,LECTURE 1,22,1,1,1,1,SCHOOL OF COMPUTING,NUS Students [P]
190,CS5215,LECTURE 1,8,2,1,1,10,SCHOOL OF COMPUTING,NUS Students [P]
191,CS5220,LECTURE 1,6,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
192,CS5223,LECTURE 1,10,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
193,CS5225,LECTURE 1,9,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
194,CS5229,LECTURE 1,8,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
195,CS5231,LECTURE 1,1,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
196,CS5234,LECTURE 1,10,2,1,1,100,SCHOOL OF COMPUTING,NUS Students [P]
197,CS5237,LECTURE 1,8,2,1,1,2,SCHOOL OF COMPUTING,NUS Students [P]
198,CS5238,LECTURE 1,8,1,1,1,1,SCHOOL OF COMPUTING,NUS Students [P]
199,CS5240,LECTURE 1,8,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
200,CS5248,LECTURE 1,9,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
201,CS5249,LECTURE 1,9,2,18,1,18,SCHOOL OF COMPUTING,NUS Students [P]
202,CS5272,LECTURE 1,1,2,1,111,111,SCHOOL OF COMPUTING,NUS Students [P]
203,CS5340,LECTURE 1,6,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
204,CZ1102,LECTURE SL1,136,39,1,1,1888,SCIENCE,NUS Students [P]
205,CZ3253,LECTURE SL1,39,0,0,0,0,SCIENCE,NUS Students [P]
206,CZ4102,LECTURE SL1,42,1,1,1,1,SCIENCE,NUS Students [P]
207,DSC2003,LECTURE C1,3,17,400,900,1290,SCHOOL OF BUSINESS,"NUS Students [P, G]"
208,DSC2003,LECTURE C2,2,6,646,1469,1776,SCHOOL OF BUSINESS,"NUS Students [P, G]"
209,DSC2006,LECTURE F1,1,9,1,2500,2500,SCHOOL OF BUSINESS,"NUS Students [P, G]"
210,DSC2006,LECTURE F2,1,10,15,1400,1400,SCHOOL OF BUSINESS,"NUS Students [P, G]"
211,DSC3201,SECTIONAL TEACHING A1,13,2,2,1,400,SCHOOL OF BUSINESS,"NUS Students [P, G]"
212,DSC3201,SECTIONAL TEACHING A2,28,0,0,0,0,SCHOOL OF BUSINESS,"NUS Students [P, G]"
213,DSC3202,SECTIONAL TEACHING B1,13,1,1,1,1,SCHOOL OF BUSINESS,"NUS Students [P, G]"
214,DSC3203,SECTIONAL TEACHING C2,30,4,9,1,201,SCHOOL OF BUSINESS,"NUS Students [P, G]"
215,DSC3222E,SECTIONAL TEACHING D1,16,2,2,1,10,SCHOOL OF BUSINESS,"NUS Students [P, G]"
216,DSC4211B,SECTIONAL TEACHING F1,7,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
217,DSC4211C,SECTIONAL TEACHING G1,24,1,6,1,6,SCHOOL OF BUSINESS,NUS Students [P]
218,EC1101E,LECTURE 1,1,2,103,681,681,ARTS & SOCIAL SCIENCES,NUS Students [P]
219,EC1101E,LECTURE 2,12,16,180,297,1624,ARTS & SOCIAL SCIENCES,NUS Students [P]
220,EC1301,LECTURE 1,110,53,1,1,1137,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
221,EC1301,LECTURE 2,20,26,203,597,2250,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
222,EC1301,LECTURE 3,61,60,1,1,1611,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
223,EC2102,LECTURE 1,1,16,39,3134,3134,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
224,EC3102,LECTURE 1,2,7,2,1000,1000,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
225,EC3303,LECTURE 1,1,9,200,1455,1455,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
226,EC3304,LECTURE 1,2,3,40,150,382,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
227,EC3312,LECTURE 1,2,4,1,1159,1160,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
228,EC3322,LECTURE 1,2,8,100,908,1997,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
229,EC3332,LECTURE 1,1,5,400,1220,1220,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
230,EC3333,LECTURE 1,3,9,322,833,872,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
231,EC3341,LECTURE 1,2,11,100,1273,1470,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
232,EC3353,LECTURE 1,2,11,17,1000,1045,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
233,EC3361,LECTURE 1,1,5,401,1050,1050,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
234,EC3373,LECTURE 1,2,7,1,800,2000,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
235,EC3382,SEMINAR-STYLE MODULE CLASS 1,2,6,363,800,1014,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
236,EC4101,LECTURE 1,14,7,1,1,1600,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
237,EC4102,LECTURE 1,41,0,0,0,0,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
238,EC4332,LECTURE 1,6,1,1,1,1,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
239,EC4333,LECTURE 1,2,6,100,1890,2784,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
240,EC4341,LECTURE 1,2,2,1,1,1,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
241,EC4880,SEMINAR-STYLE MODULE CLASS 1,2,4,1,1429,2000,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
242,EC5311,SECTIONAL TEACHING 1,25,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
243,EC5361,SECTIONAL TEACHING 1,18,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
244,EE2001,LECTURE P,206,1,100,1,100,ENGINEERING,NUS Students [P]
245,EE2004,LECTURE ALL,44,2,1,1,100,ENGINEERING,"NUS Students [P, G]"
246,EE2004E,LECTURE 1,365,4,1,1,3,ENGINEERING,NUS Students [P]
247,EE2005,LECTURE ALL,16,1,1,1,1,ENGINEERING,"NUS Students [P, G]"
248,EE2006,LECTURE ALL,30,0,0,0,0,ENGINEERING,"NUS Students [P, G]"
249,EE2009,LECTURE ALL,23,1,10,1,10,ENGINEERING,NUS Students [P]
250,EE2009E,LECTURE 1,203,1,1,1,1,ENGINEERING,NUS Students [P]
251,EE2010,LECTURE ALL,49,0,0,0,0,ENGINEERING,"NUS Students [P, G]"
252,EE2010E,LECTURE 1,224,1,1,1,1,ENGINEERING,NUS Students [P]
253,EE2011,LECTURE ALL,40,0,0,0,0,ENGINEERING,NUS Students [P]
254,EE3001,LECTURE P,88,1,15,1,15,ENGINEERING,NUS Students [P]
255,EE3101,PACKAGED LECTURE 1,156,0,0,0,0,ENGINEERING,NUS Students [P]
256,EE3101E,LECTURE 1,28,0,0,0,0,ENGINEERING,NUS Students [P]
257,EE3103,PACKAGED LECTURE 1,180,1,10,1,10,ENGINEERING,NUS Students [P]
258,EE3103E,LECTURE 1,38,0,0,0,0,ENGINEERING,NUS Students [P]
259,EE3204,PACKAGED LECTURE 1,137,2,1,1,1,ENGINEERING,NUS Students [P]
260,EE3204E,LECTURE 1,27,0,0,0,0,ENGINEERING,NUS Students [P]
261,EE3206,PACKAGED LECTURE 1,92,2,100,1,1669,ENGINEERING,NUS Students [P]
262,EE3206E,LECTURE 1,26,0,0,0,0,ENGINEERING,NUS Students [P]
263,EE3207,PACKAGED LECTURE 1,33,1,200,1,200,ENGINEERING,NUS Students [P]
264,EE3207E,LECTURE 1,28,1,1,1,1,ENGINEERING,NUS Students [P]
265,EE3208E,LECTURE 1,48,0,0,0,0,ENGINEERING,NUS Students [P]
266,EE3302,PACKAGED LECTURE 1,57,4,1,1,500,ENGINEERING,NUS Students [P]
267,EE3302E,LECTURE 1,7,0,0,0,0,ENGINEERING,NUS Students [P]
268,EE3406,PACKAGED LECTURE 1,80,2,1,1,1,ENGINEERING,NUS Students [P]
269,EE3407,PACKAGED LECTURE 1,195,1,1,1,1,ENGINEERING,NUS Students [P]
270,EE3408,PACKAGED LECTURE 1,2,5,1250,2800,3223,ENGINEERING,NUS Students [P]
